Fri Jul  7 00:53:57 2023 | INFO  | loadConfig                               | Config loaded
Fri Jul  7 00:53:58 2023 | INFO  | loadSections                             | free as a bird 2
Fri Jul  7 00:53:58 2023 | INFO  | loadSections                             | Executable set
Fri Jul  7 00:53:58 2023 | INFO  | loadSections                             | Setting logo, background and system
Fri Jul  7 00:53:58 2023 | INFO  | loadSections                             | Set
Fri Jul  7 00:53:58 2023 | INFO  | loadSections                             | Out
Fri Jul  7 00:53:58 2023 | INFO  | loadSections                             | CPS2
Fri Jul  7 00:53:58 2023 | INFO  | loadSections                             | Current exec ready
Fri Jul  7 00:53:58 2023 | INFO  | loadSections                             | free as a bird
Fri Jul  7 00:53:58 2023 | INFO  | loadSections                             | free as a bird 2
Fri Jul  7 00:53:58 2023 | INFO  | loadSections                             | Executable set
Fri Jul  7 00:53:58 2023 | INFO  | loadSections                             | Setting logo, background and system
Fri Jul  7 00:53:58 2023 | INFO  | loadSections                             | Set
Fri Jul  7 00:53:58 2023 | INFO  | loadSections                             | Out
Fri Jul  7 00:53:58 2023 | INFO  | loadSections                             | CPS3
Fri Jul  7 00:53:58 2023 | INFO  | loadSections                             | Current exec ready
Fri Jul  7 00:53:58 2023 | INFO  | loadSections                             | free as a bird
Fri Jul  7 00:53:58 2023 | INFO  | loadSections                             | free as a bird 2
Fri Jul  7 00:53:58 2023 | INFO  | loadSections                             | Executable set
Fri Jul  7 00:53:58 2023 | INFO  | loadSections                             | Setting logo, background and system
Fri Jul  7 00:53:58 2023 | INFO  | loadSections                             | Loading system logo
Fri Jul  7 00:53:59 2023 | INFO  | loadSections                             | Loading system background
Fri Jul  7 00:53:59 2023 | INFO  | loadSections                             | Loading system picture
Fri Jul  7 00:53:59 2023 | INFO  | loadSections                             | Set
Fri Jul  7 00:53:59 2023 | INFO  | loadSections                             | Out
Fri Jul  7 00:53:59 2023 | INFO  | loadSections                             | NEO GEO
Fri Jul  7 00:53:59 2023 | INFO  | loadSections                             | Current exec ready
Fri Jul  7 00:53:59 2023 | INFO  | loadSections                             | free as a bird
Fri Jul  7 00:53:59 2023 | INFO  | loadSections                             | free as a bird 2
Fri Jul  7 00:53:59 2023 | INFO  | loadSections                             | Executable set
Fri Jul  7 00:53:59 2023 | INFO  | loadSections                             | Setting logo, background and system
Fri Jul  7 00:53:59 2023 | INFO  | loadSections                             | Set
Fri Jul  7 00:53:59 2023 | INFO  | loadSections                             | Out
Fri Jul  7 00:53:59 2023 | INFO  | loadSections                             | FINALBURN ALPHA
Fri Jul  7 00:53:59 2023 | INFO  | loadSections                             | Current exec ready
Fri Jul  7 00:53:59 2023 | INFO  | loadSections                             | free as a bird
Fri Jul  7 00:53:59 2023 | INFO  | loadSections                             | free as a bird 2
Fri Jul  7 00:53:59 2023 | INFO  | loadSections                             | Executable set
Fri Jul  7 00:53:59 2023 | INFO  | loadSections                             | Setting logo, background and system
Fri Jul  7 00:53:59 2023 | INFO  | loadSections                             | Set
Fri Jul  7 00:53:59 2023 | INFO  | loadSections                             | Out
Fri Jul  7 00:53:59 2023 | INFO  | loadSections                             | FINALBURN NEO
Fri Jul  7 00:53:59 2023 | INFO  | loadSections                             | Current exec ready
Fri Jul  7 00:53:59 2023 | INFO  | loadSections                             | free as a bird
Fri Jul  7 00:53:59 2023 | INFO  | loadSections                             | free as a bird 2
Fri Jul  7 00:53:59 2023 | INFO  | loadSections                             | Executable set
Fri Jul  7 00:53:59 2023 | INFO  | loadSections                             | Setting logo, background and system
Fri Jul  7 00:53:59 2023 | INFO  | loadSections                             | Set
Fri Jul  7 00:53:59 2023 | INFO  | loadSections                             | Out
Fri Jul  7 00:53:59 2023 | INFO  | loadSections                             | DAPHNE
Fri Jul  7 00:53:59 2023 | INFO  | loadSections                             | Current exec ready
Fri Jul  7 00:53:59 2023 | INFO  | loadSections                             | free as a bird
Fri Jul  7 00:53:59 2023 | INFO  | loadSections                             | free as a bird 2
Fri Jul  7 00:53:59 2023 | INFO  | loadSections                             | Executable set
Fri Jul  7 00:53:59 2023 | INFO  | loadSections                             | Setting logo, background and system
Fri Jul  7 00:53:59 2023 | INFO  | loadSections                             | Set
Fri Jul  7 00:53:59 2023 | INFO  | loadSections                             | Out
Fri Jul  7 00:53:59 2023 | INFO  | loadSections                             | Out 1
Fri Jul  7 00:53:59 2023 | INFO  | loadSections                             | Out2
Fri Jul  7 00:53:59 2023 | INFO  | loadSections                             | Out 3
Fri Jul  7 00:53:59 2023 | INFO  | loadSections                             | Out 4
Fri Jul  7 00:53:59 2023 | INFO  | initializeFonts                          | Fonts initialized
Fri Jul  7 00:53:59 2023 | INFO  | loadSections                             | Out 5
Fri Jul  7 00:53:59 2023 | INFO  | loadSections                             | Out 6
Fri Jul  7 00:53:59 2023 | INFO  | loadSections                             | Out 7
Fri Jul  7 00:53:59 2023 | INFO  | initialSetup2                            | Loading favorites
Fri Jul  7 00:53:59 2023 | INFO  | loadFavorites                            | Loaded favorites
Fri Jul  7 00:53:59 2023 | INFO  | initSuspendTimer                         | Suspend timer initialized
Fri Jul  7 00:53:59 2023 | INFO  | determineStartingScreen                  | Loading game list
Fri Jul  7 00:53:59 2023 | INFO  | loadGameList                             | CPS3
Fri Jul  7 00:53:59 2023 | INFO  | loadGameList                             | Should we skip this?
Fri Jul  7 00:53:59 2023 | INFO  | loadGameList                             | No, loading game list
Fri Jul  7 00:53:59 2023 | INFO  | loadGameList                             | Scanning directory
Fri Jul  7 00:53:59 2023 | INFO  | loadGameList                             | Processing files
Fri Jul  7 00:53:59 2023 | INFO  | loadGameList                             | All files loaded
Fri Jul  7 00:53:59 2023 | INFO  | loadGameList                             | The list needs to be sorted
Fri Jul  7 00:53:59 2023 | INFO  | loadGameList                             | Finished
Fri Jul  7 00:53:59 2023 | ERROR | loadFavoritesSectionGameList             | Setting total pages
Fri Jul  7 00:53:59 2023 | INFO  | determineStartingScreen                  | Found starting screen
Fri Jul  7 00:53:59 2023 | INFO  | Battery                                  | getBatteryLevel
Fri Jul  7 00:53:59 2023 | INFO  | Battery                                  | Battery charge: 99
Fri Jul  7 00:53:59 2023 | INFO  | Battery                                  | Battery charging: 1
Fri Jul  7 00:53:59 2023 | INFO  | main                                     | Checking launch at boot
Fri Jul  7 00:53:59 2023 | INFO  | updateScreen                             | Menu mode
Fri Jul  7 00:53:59 2023 | INFO  | displayGamePictureInMenu                 | Displaying...
Fri Jul  7 00:53:59 2023 | INFO  | displayGamePictureInMenu                 | Displayed game picture
Fri Jul  7 00:53:59 2023 | INFO  | drawGameList                             | Game list - Done
Fri Jul  7 00:53:59 2023 | INFO  | setupDecorations                         | Decorations set
Fri Jul  7 00:54:00 2023 | INFO  | Battery                                  | getBatteryLevel
Fri Jul  7 00:54:00 2023 | INFO  | Battery                                  | Battery charge: 99
Fri Jul  7 00:54:00 2023 | INFO  | Battery                                  | Battery charging: 1
Fri Jul  7 00:54:00 2023 | INFO  | updateScreen                             | Menu mode
Fri Jul  7 00:54:00 2023 | INFO  | displayGamePictureInMenu                 | Displaying...
Fri Jul  7 00:54:00 2023 | INFO  | displayGamePictureInMenu                 | Displayed game picture
Fri Jul  7 00:54:00 2023 | INFO  | drawGameList                             | Game list - Done
Fri Jul  7 00:54:00 2023 | INFO  | setupDecorations                         | Decorations set
Fri Jul  7 00:54:37 2023 | INFO  | updateScreen                             | Menu mode
Fri Jul  7 00:54:37 2023 | INFO  | displayGamePictureInMenu                 | Displaying...
Fri Jul  7 00:54:37 2023 | INFO  | displayGamePictureInMenu                 | Displayed game picture
Fri Jul  7 00:54:37 2023 | INFO  | drawGameList                             | Game list - Done
Fri Jul  7 00:54:37 2023 | INFO  | setupDecorations                         | Decorations set
Fri Jul  7 00:54:37 2023 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {30,30,130}
Fri Jul  7 00:54:37 2023 | INFO  | drawRectangleToScreen                    | Filling
Fri Jul  7 00:54:37 2023 | INFO  | showConsole                              | Current console shown
Fri Jul  7 00:54:38 2023 | INFO  | theSectionHasGames                       | Directories /userdata/roms/neogeo/ 
Fri Jul  7 00:54:38 2023 | INFO  | theSectionHasGames                       | Looking at /userdata/roms/neogeo/
Fri Jul  7 00:54:38 2023 | INFO  | theSectionHasGames                       | Looking at (null)
Fri Jul  7 00:54:38 2023 | INFO  | theSectionHasGames                       | DirCounter is 1
Fri Jul  7 00:54:38 2023 | INFO  | theSectionHasGames                       | k is 0
Fri Jul  7 00:54:38 2023 | INFO  | theSectionHasGames                       | Directory /userdata/roms/neogeo/ has 452 files
Fri Jul  7 00:54:39 2023 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {30,30,130}
Fri Jul  7 00:54:39 2023 | INFO  | drawRectangleToScreen                    | Filling
Fri Jul  7 00:54:39 2023 | INFO  | showConsole                              | Current console shown
Fri Jul  7 00:54:40 2023 | INFO  | theSectionHasGames                       | Directories /userdata/roms/fba/ 
Fri Jul  7 00:54:40 2023 | INFO  | theSectionHasGames                       | Looking at /userdata/roms/fba/
Fri Jul  7 00:54:40 2023 | INFO  | theSectionHasGames                       | Looking at (null)
Fri Jul  7 00:54:40 2023 | INFO  | theSectionHasGames                       | DirCounter is 1
Fri Jul  7 00:54:40 2023 | INFO  | theSectionHasGames                       | k is 0
Fri Jul  7 00:54:40 2023 | ERROR | scanDirectory                            | /userdata/roms/fba/
Fri Jul  7 00:54:40 2023 | INFO  | theSectionHasGames                       | Directory /userdata/roms/fba/ has 0 files
Fri Jul  7 00:54:40 2023 | INFO  | theSectionHasGames                       | Directories /userdata/roms/fbneo/ 
Fri Jul  7 00:54:40 2023 | INFO  | theSectionHasGames                       | Looking at /userdata/roms/fbneo/
Fri Jul  7 00:54:40 2023 | INFO  | theSectionHasGames                       | Looking at (null)
Fri Jul  7 00:54:40 2023 | INFO  | theSectionHasGames                       | DirCounter is 1
Fri Jul  7 00:54:40 2023 | INFO  | theSectionHasGames                       | k is 0
Fri Jul  7 00:54:40 2023 | INFO  | theSectionHasGames                       | Directory /userdata/roms/fbneo/ has 1 files
Fri Jul  7 00:54:40 2023 | INFO  | theSectionHasGames                       | Directories /userdata/roms/daphne/ 
Fri Jul  7 00:54:40 2023 | INFO  | theSectionHasGames                       | Looking at /userdata/roms/daphne/
Fri Jul  7 00:54:40 2023 | INFO  | theSectionHasGames                       | Looking at (null)
Fri Jul  7 00:54:40 2023 | INFO  | theSectionHasGames                       | DirCounter is 1
Fri Jul  7 00:54:40 2023 | INFO  | theSectionHasGames                       | k is 0
Fri Jul  7 00:54:40 2023 | INFO  | theSectionHasGames                       | Directory /userdata/roms/daphne/ has 116 files
Fri Jul  7 00:54:40 2023 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {30,30,130}
Fri Jul  7 00:54:40 2023 | INFO  | drawRectangleToScreen                    | Filling
Fri Jul  7 00:54:40 2023 | INFO  | showConsole                              | Current console shown
Fri Jul  7 00:54:40 2023 | ERROR | loadFavoritesSectionGameList             | Setting total pages
Fri Jul  7 00:54:40 2023 | INFO  | theSectionHasGames                       | Directories /userdata/roms/mame/ 
Fri Jul  7 00:54:40 2023 | INFO  | theSectionHasGames                       | Looking at /userdata/roms/mame/
Fri Jul  7 00:54:40 2023 | INFO  | theSectionHasGames                       | Looking at (null)
Fri Jul  7 00:54:40 2023 | INFO  | theSectionHasGames                       | DirCounter is 1
Fri Jul  7 00:54:40 2023 | INFO  | theSectionHasGames                       | k is 0
Fri Jul  7 00:54:41 2023 | INFO  | theSectionHasGames                       | Directory /userdata/roms/mame/ has 2054 files
Fri Jul  7 00:54:41 2023 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {30,30,130}
Fri Jul  7 00:54:41 2023 | INFO  | drawRectangleToScreen                    | Filling
Fri Jul  7 00:54:41 2023 | INFO  | showConsole                              | Current console shown
Fri Jul  7 00:54:41 2023 | INFO  | theSectionHasGames                       | Directories /userdata/roms/cps1/ 
Fri Jul  7 00:54:41 2023 | INFO  | theSectionHasGames                       | Looking at /userdata/roms/cps1/
Fri Jul  7 00:54:41 2023 | INFO  | theSectionHasGames                       | Looking at (null)
Fri Jul  7 00:54:41 2023 | INFO  | theSectionHasGames                       | DirCounter is 1
Fri Jul  7 00:54:41 2023 | INFO  | theSectionHasGames                       | k is 0
Fri Jul  7 00:54:41 2023 | INFO  | theSectionHasGames                       | Directory /userdata/roms/cps1/ has 30 files
Fri Jul  7 00:54:41 2023 | INFO  | theSectionHasGames                       | Directories /userdata/roms/cps2/ 
Fri Jul  7 00:54:41 2023 | INFO  | theSectionHasGames                       | Looking at /userdata/roms/cps2/
Fri Jul  7 00:54:41 2023 | INFO  | theSectionHasGames                       | Looking at (null)
Fri Jul  7 00:54:41 2023 | INFO  | theSectionHasGames                       | DirCounter is 1
Fri Jul  7 00:54:41 2023 | INFO  | theSectionHasGames                       | k is 0
Fri Jul  7 00:54:41 2023 | INFO  | theSectionHasGames                       | Directory /userdata/roms/cps2/ has 31 files
Fri Jul  7 00:54:41 2023 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {30,30,130}
Fri Jul  7 00:54:41 2023 | INFO  | drawRectangleToScreen                    | Filling
Fri Jul  7 00:54:41 2023 | INFO  | showConsole                              | Current console shown
Fri Jul  7 00:54:41 2023 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {30,30,130}
Fri Jul  7 00:54:41 2023 | INFO  | drawRectangleToScreen                    | Filling
Fri Jul  7 00:54:41 2023 | INFO  | showConsole                              | Current console shown
Fri Jul  7 00:54:42 2023 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {30,30,130}
Fri Jul  7 00:54:42 2023 | INFO  | drawRectangleToScreen                    | Filling
Fri Jul  7 00:54:42 2023 | INFO  | showConsole                              | Current console shown
Fri Jul  7 00:54:42 2023 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {30,30,130}
Fri Jul  7 00:54:42 2023 | INFO  | drawRectangleToScreen                    | Filling
Fri Jul  7 00:54:42 2023 | INFO  | showConsole                              | Current console shown
Fri Jul  7 00:54:42 2023 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {30,30,130}
Fri Jul  7 00:54:42 2023 | INFO  | drawRectangleToScreen                    | Filling
Fri Jul  7 00:54:42 2023 | INFO  | showConsole                              | Current console shown
Fri Jul  7 00:54:43 2023 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {30,30,130}
Fri Jul  7 00:54:43 2023 | INFO  | drawRectangleToScreen                    | Filling
Fri Jul  7 00:54:43 2023 | INFO  | showConsole                              | Current console shown
Fri Jul  7 00:54:43 2023 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {30,30,130}
Fri Jul  7 00:54:43 2023 | INFO  | drawRectangleToScreen                    | Filling
Fri Jul  7 00:54:43 2023 | INFO  | showConsole                              | Current console shown
Fri Jul  7 00:54:43 2023 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {30,30,130}
Fri Jul  7 00:54:43 2023 | INFO  | drawRectangleToScreen                    | Filling
Fri Jul  7 00:54:43 2023 | INFO  | showConsole                              | Current console shown
Fri Jul  7 00:54:43 2023 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {30,30,130}
Fri Jul  7 00:54:43 2023 | INFO  | drawRectangleToScreen                    | Filling
Fri Jul  7 00:54:43 2023 | INFO  | showConsole                              | Current console shown
Fri Jul  7 00:54:44 2023 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {30,30,130}
Fri Jul  7 00:54:44 2023 | INFO  | drawRectangleToScreen                    | Filling
Fri Jul  7 00:54:44 2023 | INFO  | showConsole                              | Current console shown
Fri Jul  7 00:54:44 2023 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {30,30,130}
Fri Jul  7 00:54:44 2023 | INFO  | drawRectangleToScreen                    | Filling
Fri Jul  7 00:54:44 2023 | INFO  | showConsole                              | Current console shown
Fri Jul  7 00:54:44 2023 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {30,30,130}
Fri Jul  7 00:54:44 2023 | INFO  | drawRectangleToScreen                    | Filling
Fri Jul  7 00:54:44 2023 | INFO  | showConsole                              | Current console shown
Fri Jul  7 00:54:44 2023 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {30,30,130}
Fri Jul  7 00:54:44 2023 | INFO  | drawRectangleToScreen                    | Filling
Fri Jul  7 00:54:44 2023 | INFO  | showConsole                              | Current console shown
Fri Jul  7 00:54:44 2023 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {30,30,130}
Fri Jul  7 00:54:44 2023 | INFO  | drawRectangleToScreen                    | Filling
Fri Jul  7 00:54:44 2023 | INFO  | showConsole                              | Current console shown
Fri Jul  7 00:54:45 2023 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {30,30,130}
Fri Jul  7 00:54:45 2023 | INFO  | drawRectangleToScreen                    | Filling
Fri Jul  7 00:54:45 2023 | INFO  | showConsole                              | Current console shown
Fri Jul  7 00:54:45 2023 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {30,30,130}
Fri Jul  7 00:54:45 2023 | INFO  | drawRectangleToScreen                    | Filling
Fri Jul  7 00:54:45 2023 | INFO  | showConsole                              | Current console shown
Fri Jul  7 00:54:45 2023 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {30,30,130}
Fri Jul  7 00:54:45 2023 | INFO  | drawRectangleToScreen                    | Filling
Fri Jul  7 00:54:45 2023 | INFO  | showConsole                              | Current console shown
Fri Jul  7 00:54:45 2023 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {30,30,130}
Fri Jul  7 00:54:45 2023 | INFO  | drawRectangleToScreen                    | Filling
Fri Jul  7 00:54:45 2023 | INFO  | showConsole                              | Current console shown
Fri Jul  7 00:54:45 2023 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {30,30,130}
Fri Jul  7 00:54:45 2023 | INFO  | drawRectangleToScreen                    | Filling
Fri Jul  7 00:54:45 2023 | INFO  | showConsole                              | Current console shown
Fri Jul  7 00:54:46 2023 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {30,30,130}
Fri Jul  7 00:54:46 2023 | INFO  | drawRectangleToScreen                    | Filling
Fri Jul  7 00:54:46 2023 | INFO  | showConsole                              | Current console shown
Fri Jul  7 00:54:46 2023 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {50,50,50}
Fri Jul  7 00:54:46 2023 | INFO  | drawRectangleToScreen                    | Filling
Fri Jul  7 00:54:46 2023 | INFO  | showCurrentGroup                         | Group displayed
Fri Jul  7 00:54:46 2023 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {50,50,50}
Fri Jul  7 00:54:46 2023 | INFO  | drawRectangleToScreen                    | Filling
Fri Jul  7 00:54:46 2023 | INFO  | showCurrentGroup                         | Group displayed
Fri Jul  7 00:54:47 2023 | INFO  | loadSections                             | NINTENDO 64
Fri Jul  7 00:54:47 2023 | INFO  | loadSections                             | Current exec ready
Fri Jul  7 00:54:47 2023 | INFO  | loadSections                             | free as a bird
Fri Jul  7 00:54:47 2023 | INFO  | loadSections                             | free as a bird 2
Fri Jul  7 00:54:47 2023 | INFO  | loadSections                             | Executable set
Fri Jul  7 00:54:47 2023 | INFO  | loadSections                             | Setting logo, background and system
Fri Jul  7 00:54:47 2023 | INFO  | loadSections                             | Set
Fri Jul  7 00:54:47 2023 | INFO  | loadSections                             | Out
Fri Jul  7 00:54:47 2023 | INFO  | loadSections                             | DREAMCAST
Fri Jul  7 00:54:47 2023 | INFO  | loadSections                             | Current exec ready
Fri Jul  7 00:54:47 2023 | INFO  | loadSections                             | free as a bird
Fri Jul  7 00:54:47 2023 | INFO  | loadSections                             | free as a bird 2
Fri Jul  7 00:54:47 2023 | INFO  | loadSections                             | Executable set
Fri Jul  7 00:54:47 2023 | INFO  | loadSections                             | Setting logo, background and system
Fri Jul  7 00:54:47 2023 | INFO  | loadSections                             | Set
Fri Jul  7 00:54:47 2023 | INFO  | loadSections                             | Out
Fri Jul  7 00:54:47 2023 | INFO  | loadSections                             | ODYSSEY2
Fri Jul  7 00:54:47 2023 | INFO  | loadSections                             | Current exec ready
Fri Jul  7 00:54:47 2023 | INFO  | loadSections                             | free as a bird
Fri Jul  7 00:54:47 2023 | INFO  | loadSections                             | free as a bird 2
Fri Jul  7 00:54:47 2023 | INFO  | loadSections                             | Executable set
Fri Jul  7 00:54:47 2023 | INFO  | loadSections                             | Setting logo, background and system
Fri Jul  7 00:54:47 2023 | INFO  | loadSections                             | Set
Fri Jul  7 00:54:47 2023 | INFO  | loadSections                             | Out
Fri Jul  7 00:54:47 2023 | INFO  | loadSections                             | NES
Fri Jul  7 00:54:47 2023 | INFO  | loadSections                             | Current exec ready
Fri Jul  7 00:54:47 2023 | INFO  | loadSections                             | free as a bird
