Thu Mar 10 07:24:35 2022 | INFO  | loadConfig                               | Config loaded
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | Current exec ready
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | free as a bird
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | free as a bird 2
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | Executable set
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | Setting logo, background and system
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | Set
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | Out
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | WONDERSWAN
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | Current exec ready
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | free as a bird
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | free as a bird 2
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | Executable set
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | Setting logo, background and system
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | Set
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | Out
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | POKEMON MINI
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | Current exec ready
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | free as a bird
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | free as a bird 2
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | Executable set
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | Setting logo, background and system
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | Set
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | Out
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | SUPERVISION
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | Current exec ready
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | free as a bird
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | free as a bird 2
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | Executable set
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | Setting logo, background and system
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | Set
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | Out
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | Out 1
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | Out2
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | Out 3
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | Out 4
Thu Mar 10 07:24:37 2022 | INFO  | initializeFonts                          | Fonts initialized
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | Out 5
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | Out 6
Thu Mar 10 07:24:37 2022 | INFO  | loadSections                             | Out 7
Thu Mar 10 07:24:37 2022 | INFO  | initialSetup2                            | Loading favorites
Thu Mar 10 07:24:37 2022 | INFO  | loadFavorites                            | Loaded favorites
Thu Mar 10 07:24:37 2022 | INFO  | initSuspendTimer                         | Suspend timer initialized
Thu Mar 10 07:24:37 2022 | INFO  | determineStartingScreen                  | Loading game list
Thu Mar 10 07:24:37 2022 | INFO  | loadGameList                             | PSP
Thu Mar 10 07:24:37 2022 | INFO  | loadGameList                             | Should we skip this?
Thu Mar 10 07:24:37 2022 | INFO  | loadGameList                             | No, loading game list
Thu Mar 10 07:24:37 2022 | INFO  | loadGameList                             | Scanning directory
Thu Mar 10 07:24:37 2022 | INFO  | loadGameList                             | Processing files
Thu Mar 10 07:24:37 2022 | INFO  | loadGameList                             | All files loaded
Thu Mar 10 07:24:37 2022 | INFO  | loadGameList                             | The list needs to be sorted
Thu Mar 10 07:24:37 2022 | INFO  | loadGameList                             | Finished
Thu Mar 10 07:24:37 2022 | ERROR | loadFavoritesSectionGameList             | Setting total pages
Thu Mar 10 07:24:37 2022 | INFO  | determineStartingScreen                  | Found starting screen
Thu Mar 10 07:24:37 2022 | INFO  | Battery                                  | getBatteryLevel
Thu Mar 10 07:24:37 2022 | INFO  | Battery                                  | Battery charge: 60
Thu Mar 10 07:24:37 2022 | INFO  | Battery                                  | Battery charging: 1
Thu Mar 10 07:24:37 2022 | INFO  | main                                     | Checking launch at boot
Thu Mar 10 07:24:37 2022 | INFO  | updateScreen                             | Menu mode
Thu Mar 10 07:24:37 2022 | INFO  | displayGamePictureInMenu                 | Displaying...
Thu Mar 10 07:24:37 2022 | INFO  | displayGamePictureInMenu                 | Displayed game picture
Thu Mar 10 07:24:37 2022 | INFO  | drawRectangleToScreen                    | 226 - 22 - 9 - 245 - {98,98,98}
Thu Mar 10 07:24:37 2022 | INFO  | drawRectangleToScreen                    | Filling
Thu Mar 10 07:24:37 2022 | INFO  | drawGameList                             | Game list - Done
Thu Mar 10 07:24:37 2022 | INFO  | setupDecorations                         | Decorations set
Thu Mar 10 07:24:38 2022 | INFO  | Battery                                  | getBatteryLevel
Thu Mar 10 07:24:38 2022 | INFO  | Battery                                  | Battery charge: 60
Thu Mar 10 07:24:38 2022 | INFO  | Battery                                  | Battery charging: 1
Thu Mar 10 07:24:38 2022 | INFO  | updateScreen                             | Menu mode
Thu Mar 10 07:24:38 2022 | INFO  | displayGamePictureInMenu                 | Displaying...
Thu Mar 10 07:24:38 2022 | INFO  | displayGamePictureInMenu                 | Displayed game picture
Thu Mar 10 07:24:38 2022 | INFO  | drawRectangleToScreen                    | 226 - 22 - 9 - 245 - {98,98,98}
Thu Mar 10 07:24:38 2022 | INFO  | drawRectangleToScreen                    | Filling
Thu Mar 10 07:24:38 2022 | INFO  | drawGameList                             | Game list - Done
Thu Mar 10 07:24:38 2022 | INFO  | setupDecorations                         | Decorations set
Thu Mar 10 07:24:38 2022 | INFO  | updateScreen                             | Menu mode
Thu Mar 10 07:24:38 2022 | INFO  | displayGamePictureInMenu                 | Displaying...
Thu Mar 10 07:24:38 2022 | INFO  | displayGamePictureInMenu                 | Displayed game picture
Thu Mar 10 07:24:38 2022 | INFO  | drawRectangleToScreen                    | 226 - 22 - 9 - 269 - {98,98,98}
Thu Mar 10 07:24:38 2022 | INFO  | drawRectangleToScreen                    | Filling
Thu Mar 10 07:24:38 2022 | INFO  | drawGameList                             | Game list - Done
Thu Mar 10 07:24:38 2022 | INFO  | setupDecorations                         | Decorations set
Thu Mar 10 07:24:38 2022 | INFO  | updateScreen                             | Menu mode
Thu Mar 10 07:24:39 2022 | INFO  | displayGamePictureInMenu                 | Displaying...
Thu Mar 10 07:24:39 2022 | INFO  | displayGamePictureInMenu                 | Displayed game picture
Thu Mar 10 07:24:39 2022 | INFO  | drawRectangleToScreen                    | 226 - 22 - 9 - 245 - {98,98,98}
Thu Mar 10 07:24:39 2022 | INFO  | drawRectangleToScreen                    | Filling
Thu Mar 10 07:24:39 2022 | INFO  | drawGameList                             | Game list - Done
Thu Mar 10 07:24:39 2022 | INFO  | setupDecorations                         | Decorations set
Thu Mar 10 07:24:39 2022 | INFO  | updateScreen                             | Menu mode
Thu Mar 10 07:24:39 2022 | INFO  | displayGamePictureInMenu                 | Displaying...
Thu Mar 10 07:24:39 2022 | INFO  | displayGamePictureInMenu                 | Displayed game picture
Thu Mar 10 07:24:39 2022 | INFO  | drawRectangleToScreen                    | 226 - 22 - 9 - 221 - {98,98,98}
Thu Mar 10 07:24:39 2022 | INFO  | drawRectangleToScreen                    | Filling
Thu Mar 10 07:24:39 2022 | INFO  | drawGameList                             | Game list - Done
Thu Mar 10 07:24:39 2022 | INFO  | setupDecorations                         | Decorations set
Thu Mar 10 07:24:39 2022 | INFO  | updateScreen                             | Menu mode
Thu Mar 10 07:24:39 2022 | INFO  | displayGamePictureInMenu                 | Displaying...
Thu Mar 10 07:24:39 2022 | INFO  | displayGamePictureInMenu                 | Displayed game picture
Thu Mar 10 07:24:39 2022 | INFO  | drawRectangleToScreen                    | 226 - 22 - 9 - 221 - {98,98,98}
Thu Mar 10 07:24:39 2022 | INFO  | drawRectangleToScreen                    | Filling
Thu Mar 10 07:24:39 2022 | INFO  | drawGameList                             | Game list - Done
Thu Mar 10 07:24:39 2022 | INFO  | setupDecorations                         | Decorations set
Thu Mar 10 07:24:39 2022 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {30,30,130}
Thu Mar 10 07:24:39 2022 | INFO  | drawRectangleToScreen                    | Filling
Thu Mar 10 07:24:39 2022 | INFO  | showConsole                              | Current console shown
Thu Mar 10 07:24:41 2022 | INFO  | performAction                            | Loading game list
Thu Mar 10 07:24:41 2022 | INFO  | loadGameList                             | PSP
Thu Mar 10 07:24:41 2022 | INFO  | loadGameList                             | Should we skip this?
Thu Mar 10 07:24:41 2022 | INFO  | loadGameList                             | Finished
Thu Mar 10 07:24:41 2022 | INFO  | updateScreen                             | Menu mode
Thu Mar 10 07:24:41 2022 | INFO  | displayGamePictureInMenu                 | Displaying...
Thu Mar 10 07:24:41 2022 | INFO  | displayGamePictureInMenu                 | Displayed game picture
Thu Mar 10 07:24:41 2022 | INFO  | drawRectangleToScreen                    | 226 - 22 - 9 - 221 - {98,98,98}
Thu Mar 10 07:24:41 2022 | INFO  | drawRectangleToScreen                    | Filling
Thu Mar 10 07:24:41 2022 | INFO  | drawGameList                             | Game list - Done
Thu Mar 10 07:24:41 2022 | INFO  | setupDecorations                         | Decorations set
Thu Mar 10 07:24:41 2022 | INFO  | updateScreen                             | Menu mode
Thu Mar 10 07:24:41 2022 | INFO  | displayGamePictureInMenu                 | Displaying...
Thu Mar 10 07:24:41 2022 | INFO  | displayGamePictureInMenu                 | Displayed game picture
Thu Mar 10 07:24:41 2022 | INFO  | drawRectangleToScreen                    | 226 - 22 - 9 - 221 - {98,98,98}
Thu Mar 10 07:24:41 2022 | INFO  | drawRectangleToScreen                    | Filling
Thu Mar 10 07:24:41 2022 | INFO  | drawGameList                             | Game list - Done
Thu Mar 10 07:24:41 2022 | INFO  | setupDecorations                         | Decorations set
Thu Mar 10 07:24:41 2022 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {30,30,130}
Thu Mar 10 07:24:41 2022 | INFO  | drawRectangleToScreen                    | Filling
Thu Mar 10 07:24:41 2022 | INFO  | showConsole                              | Current console shown
Thu Mar 10 07:24:42 2022 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {30,30,130}
Thu Mar 10 07:24:42 2022 | INFO  | drawRectangleToScreen                    | Filling
Thu Mar 10 07:24:42 2022 | INFO  | showConsole                              | Current console shown
Thu Mar 10 07:24:42 2022 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {50,50,50}
Thu Mar 10 07:24:42 2022 | INFO  | drawRectangleToScreen                    | Filling
Thu Mar 10 07:24:42 2022 | INFO  | showCurrentGroup                         | Group displayed
Thu Mar 10 07:24:42 2022 | INFO  | drawSettingsScreen                       | Setting options and values
Thu Mar 10 07:24:42 2022 | INFO  | drawSettingsScreen                       | Drawing shit
Thu Mar 10 07:24:42 2022 | INFO  | drawRectangleToScreen                    | 640 - 436 - 0 - 44 - {250,250,250}
Thu Mar 10 07:24:42 2022 | INFO  | drawRectangleToScreen                    | Filling
Thu Mar 10 07:24:42 2022 | INFO  | drawRectangleToScreen                    | 640 - 84 - 0 - 0 - {37,50,56}
Thu Mar 10 07:24:42 2022 | INFO  | drawRectangleToScreen                    | Filling
Thu Mar 10 07:24:42 2022 | INFO  | drawRectangleToScreen                    | 640 - 8 - 0 - 84 - {121,121,121}
Thu Mar 10 07:24:42 2022 | INFO  | drawRectangleToScreen                    | Filling
Thu Mar 10 07:24:42 2022 | INFO  | drawSettingsScreen                       | Positioning batt 1
Thu Mar 10 07:24:42 2022 | INFO  | drawRectangleToScreen                    | 640 - 8 - 0 - 84 - {80,80,255}
Thu Mar 10 07:24:42 2022 | INFO  | drawRectangleToScreen                    | Filling
Thu Mar 10 07:24:42 2022 | INFO  | drawSettingsScreen                       | Defining number of items
Thu Mar 10 07:24:42 2022 | INFO  | drawSettingsScreen                       | About to go through items
Thu Mar 10 07:24:42 2022 | INFO  | drawSettingsScreen                       | Session 
Thu Mar 10 07:24:42 2022 | INFO  | drawSettingsScreen                       | Chosen setting
Thu Mar 10 07:24:42 2022 | INFO  | drawSettingsScreen                       | Session 
Thu Mar 10 07:24:42 2022 | INFO  | drawSettingsScreen                       | quit
Thu Mar 10 07:24:42 2022 | INFO  | drawRectangleToScreen                    | 640 - 38 - 0 - 92 - {225,225,225}
Thu Mar 10 07:24:42 2022 | INFO  | drawRectangleToScreen                    | Filling
Thu Mar 10 07:24:42 2022 | INFO  | drawSettingsScreen                       | Drawing rect
Thu Mar 10 07:24:42 2022 | INFO  | drawRectangleToScreen                    | 640 - 2 - 0 - 130 - {229,229,229}
Thu Mar 10 07:24:42 2022 | INFO  | drawRectangleToScreen                    | Filling
Thu Mar 10 07:24:42 2022 | INFO  | drawSettingsScreen                       | Next line 1
Thu Mar 10 07:24:42 2022 | INFO  | drawSettingsScreen                       | Next line 2
Thu Mar 10 07:24:42 2022 | INFO  | drawSettingsScreen                       | ---
Thu Mar 10 07:24:42 2022 | INFO  | drawSettingsScreen                       | Theme 
Thu Mar 10 07:24:42 2022 | INFO  | drawSettingsScreen                       | Non-Chosen setting
Thu Mar 10 07:24:42 2022 | INFO  | drawSettingsScreen                       | Theme 
Thu Mar 10 07:24:42 2022 | INFO  | drawSettingsScreen                       | ATC Elegant Color
Thu Mar 10 07:24:42 2022 | INFO  | drawSettingsScreen                       | Drawing rect
Thu Mar 10 07:24:42 2022 | INFO  | drawRectangleToScreen                    | 640 - 2 - 0 - 168 - {229,229,229}
Thu Mar 10 07:24:42 2022 | INFO  | drawRectangleToScreen                    | Filling
Thu Mar 10 07:24:42 2022 | INFO  | drawSettingsScreen                       | Next line 1
Thu Mar 10 07:24:42 2022 | INFO  | drawSettingsScreen                       | Next line 2
Thu Mar 10 07:24:42 2022 | INFO  | drawSettingsScreen                       | ---
Thu Mar 10 07:24:42 2022 | INFO  | drawSettingsScreen                       | Appearance 
Thu Mar 10 07:24:42 2022 | INFO  | drawSettingsScreen                       | Non-Chosen setting
Thu Mar 10 07:24:42 2022 | INFO  | drawSettingsScreen                       | Appearance 
Thu Mar 10 07:24:42 2022 | INFO  | drawSettingsScreen                       |  
Thu Mar 10 07:24:42 2022 | INFO  | drawSettingsScreen                       | Drawing rect
Thu Mar 10 07:24:42 2022 | INFO  | drawRectangleToScreen                    | 640 - 2 - 0 - 206 - {229,229,229}
Thu Mar 10 07:24:42 2022 | INFO  | drawRectangleToScreen                    | Filling
Thu Mar 10 07:24:42 2022 | INFO  | drawSettingsScreen                       | Next line 1
Thu Mar 10 07:24:42 2022 | INFO  | drawSettingsScreen                       | Next line 2
Thu Mar 10 07:24:43 2022 | INFO  | drawSettingsScreen                       | ---
Thu Mar 10 07:24:43 2022 | INFO  | drawSettingsScreen                       | System 
Thu Mar 10 07:24:43 2022 | INFO  | drawSettingsScreen                       | Non-Chosen setting
Thu Mar 10 07:24:43 2022 | INFO  | drawSettingsScreen                       | System 
Thu Mar 10 07:24:43 2022 | INFO  | drawSettingsScreen                       |  
Thu Mar 10 07:24:43 2022 | INFO  | drawSettingsScreen                       | Drawing rect
Thu Mar 10 07:24:43 2022 | INFO  | drawRectangleToScreen                    | 640 - 2 - 0 - 244 - {229,229,229}
Thu Mar 10 07:24:43 2022 | INFO  | drawRectangleToScreen                    | Filling
Thu Mar 10 07:24:43 2022 | INFO  | drawSettingsScreen                       | Next line 1
Thu Mar 10 07:24:43 2022 | INFO  | drawSettingsScreen                       | Next line 2
Thu Mar 10 07:24:43 2022 | INFO  | drawSettingsScreen                       | ---
Thu Mar 10 07:24:43 2022 | INFO  | drawSettingsScreen                       | Help 
Thu Mar 10 07:24:43 2022 | INFO  | drawSettingsScreen                       | Non-Chosen setting
Thu Mar 10 07:24:43 2022 | INFO  | drawSettingsScreen                       | Help 
Thu Mar 10 07:24:43 2022 | INFO  | drawSettingsScreen                       |  
Thu Mar 10 07:24:43 2022 | INFO  | drawSettingsScreen                       | Drawing rect
Thu Mar 10 07:24:43 2022 | INFO  | drawRectangleToScreen                    | 640 - 2 - 0 - 282 - {229,229,229}
Thu Mar 10 07:24:43 2022 | INFO  | drawRectangleToScreen                    | Filling
Thu Mar 10 07:24:43 2022 | INFO  | drawSettingsScreen                       | Next line 1
Thu Mar 10 07:24:43 2022 | INFO  | drawSettingsScreen                       | Next line 2
Thu Mar 10 07:24:43 2022 | INFO  | drawSettingsScreen                       | ---
Thu Mar 10 07:24:43 2022 | INFO  | drawSettingsScreen                       |  
Thu Mar 10 07:24:43 2022 | INFO  | drawSettingsScreen                       | Non-Chosen setting
Thu Mar 10 07:24:43 2022 | INFO  | drawSettingsScreen                       |  
