Sat Jul 15 01:08:14 2023 | INFO  | loadConfig                               | Config loaded
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Current exec ready
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | free as a bird
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | free as a bird 2
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Executable set
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Setting logo, background and system
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Set
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Out
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | ODYSSEY2
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Current exec ready
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | free as a bird
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | free as a bird 2
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Executable set
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Setting logo, background and system
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Set
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Out
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | NES
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Current exec ready
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | free as a bird
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | free as a bird 2
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Executable set
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Setting logo, background and system
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Set
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Out
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | FDS
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Current exec ready
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | free as a bird
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | free as a bird 2
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Executable set
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Setting logo, background and system
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Set
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Out
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | SNES
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Current exec ready
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | free as a bird
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | free as a bird 2
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Executable set
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Setting logo, background and system
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Set
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Out
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | MSU-1
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Current exec ready
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | free as a bird
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | free as a bird 2
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Executable set
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Setting logo, background and system
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Set
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Out
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | SGB
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Current exec ready
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | free as a bird
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | free as a bird 2
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Executable set
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Setting logo, background and system
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Set
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Out
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | VIRTUAL BOY
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Current exec ready
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | free as a bird
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | free as a bird 2
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Executable set
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Setting logo, background and system
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Set
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Out
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | SEGA SG-1000
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Current exec ready
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | free as a bird
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | free as a bird 2
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Executable set
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Setting logo, background and system
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Set
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Out
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | MASTER SYSTEM
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Current exec ready
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | free as a bird
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | free as a bird 2
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Executable set
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Setting logo, background and system
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Set
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Out
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | SEGA GENESIS
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Current exec ready
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | free as a bird
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | free as a bird 2
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Executable set
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Setting logo, background and system
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Set
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Out
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | SEGA CD
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Current exec ready
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | free as a bird
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | free as a bird 2
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Executable set
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Setting logo, background and system
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Set
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Out
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | SEGA 32X
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Current exec ready
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | free as a bird
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | free as a bird 2
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Executable set
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Setting logo, background and system
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Set
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Out
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | ATARI 2600
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Current exec ready
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | free as a bird
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | free as a bird 2
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Executable set
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Setting logo, background and system
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Set
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Out
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | ATARI 5200
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Current exec ready
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | free as a bird
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | free as a bird 2
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Executable set
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Setting logo, background and system
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Set
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Out
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | ATARI 7800
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Current exec ready
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | free as a bird
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | free as a bird 2
Sat Jul 15 01:08:16 2023 | INFO  | loadSections                             | Executable set
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | Setting logo, background and system
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | Set
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | Out
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | INTELLIVISION
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | Current exec ready
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | free as a bird
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | free as a bird 2
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | Executable set
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | Setting logo, background and system
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | Set
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | Out
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | NEO GEO CD
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | Current exec ready
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | free as a bird
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | free as a bird 2
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | Executable set
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | Setting logo, background and system
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | Set
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | Out
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | PC ENGINE
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | Current exec ready
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | free as a bird
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | free as a bird 2
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | Executable set
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | Setting logo, background and system
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | Set
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | Out
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | PC ENGINE CD
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | Current exec ready
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | free as a bird
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | free as a bird 2
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | Executable set
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | Setting logo, background and system
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | Set
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | Out
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | PLAYSTATION
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | Current exec ready
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | free as a bird
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | free as a bird 2
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | Executable set
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | Setting logo, background and system
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | Set
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | Out
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | Out 1
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | Out2
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | Out 3
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | Out 4
Sat Jul 15 01:08:17 2023 | INFO  | initializeFonts                          | Fonts initialized
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | Out 5
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | Out 6
Sat Jul 15 01:08:17 2023 | INFO  | loadSections                             | Out 7
Sat Jul 15 01:08:17 2023 | INFO  | initialSetup2                            | Loading favorites
Sat Jul 15 01:08:17 2023 | INFO  | loadFavorites                            | Loaded favorites
Sat Jul 15 01:08:17 2023 | INFO  | initSuspendTimer                         | Suspend timer initialized
Sat Jul 15 01:08:17 2023 | INFO  | determineStartingScreen                  | Loading game list
Sat Jul 15 01:08:17 2023 | INFO  | loadGameList                             | NINTENDO 64
Sat Jul 15 01:08:17 2023 | INFO  | loadGameList                             | Should we skip this?
Sat Jul 15 01:08:17 2023 | INFO  | loadGameList                             | No, loading game list
Sat Jul 15 01:08:17 2023 | INFO  | loadGameList                             | Scanning directory
Sat Jul 15 01:08:17 2023 | INFO  | loadGameList                             | Processing files
Sat Jul 15 01:08:17 2023 | INFO  | loadGameList                             | All files loaded
Sat Jul 15 01:08:17 2023 | INFO  | loadGameList                             | The list needs to be sorted
Sat Jul 15 01:08:17 2023 | INFO  | loadGameList                             | Finished
Sat Jul 15 01:08:17 2023 | ERROR | loadFavoritesSectionGameList             | Setting total pages
Sat Jul 15 01:08:17 2023 | INFO  | determineStartingScreen                  | Found starting screen
Sat Jul 15 01:08:17 2023 | INFO  | Battery                                  | getBatteryLevel
Sat Jul 15 01:08:17 2023 | INFO  | Battery                                  | Battery charge: 0
Sat Jul 15 01:08:17 2023 | INFO  | Battery                                  | Battery charging: 1
Sat Jul 15 01:08:17 2023 | INFO  | main                                     | Checking launch at boot
Sat Jul 15 01:08:17 2023 | INFO  | updateScreen                             | Menu mode
Sat Jul 15 01:08:17 2023 | INFO  | displayGamePictureInMenu                 | Displaying...
Sat Jul 15 01:08:17 2023 | INFO  | displayGamePictureInMenu                 | Displayed game picture
Sat Jul 15 01:08:17 2023 | INFO  | drawGameList                             | Game list - Done
Sat Jul 15 01:08:17 2023 | INFO  | setupDecorations                         | Decorations set
Sat Jul 15 01:08:18 2023 | INFO  | Battery                                  | getBatteryLevel
Sat Jul 15 01:08:18 2023 | INFO  | Battery                                  | Battery charge: 0
Sat Jul 15 01:08:18 2023 | INFO  | Battery                                  | Battery charging: 1
Sat Jul 15 01:08:18 2023 | INFO  | updateScreen                             | Menu mode
Sat Jul 15 01:08:18 2023 | INFO  | displayGamePictureInMenu                 | Displaying...
Sat Jul 15 01:08:18 2023 | INFO  | displayGamePictureInMenu                 | Displayed game picture
Sat Jul 15 01:08:18 2023 | INFO  | drawGameList                             | Game list - Done
Sat Jul 15 01:08:18 2023 | INFO  | setupDecorations                         | Decorations set
Sat Jul 15 01:08:19 2023 | INFO  | updateScreen                             | Menu mode
Sat Jul 15 01:08:19 2023 | INFO  | displayGamePictureInMenu                 | Displaying...
Sat Jul 15 01:08:19 2023 | INFO  | displayGamePictureInMenu                 | Displayed game picture
Sat Jul 15 01:08:19 2023 | INFO  | drawGameList                             | Game list - Done
Sat Jul 15 01:08:19 2023 | INFO  | setupDecorations                         | Decorations set
Sat Jul 15 01:08:19 2023 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {30,30,130}
Sat Jul 15 01:08:19 2023 | INFO  | drawRectangleToScreen                    | Filling
Sat Jul 15 01:08:19 2023 | INFO  | showConsole                              | Current console shown
Sat Jul 15 01:08:19 2023 | INFO  | theSectionHasGames                       | Directories /userdata/roms/dreamcast/ 
Sat Jul 15 01:08:19 2023 | INFO  | theSectionHasGames                       | Looking at /userdata/roms/dreamcast/
Sat Jul 15 01:08:19 2023 | INFO  | theSectionHasGames                       | Looking at (null)
Sat Jul 15 01:08:19 2023 | INFO  | theSectionHasGames                       | DirCounter is 1
Sat Jul 15 01:08:19 2023 | INFO  | theSectionHasGames                       | k is 0
Sat Jul 15 01:08:19 2023 | INFO  | theSectionHasGames                       | Directory /userdata/roms/dreamcast/ has 51 files
Sat Jul 15 01:08:20 2023 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {30,30,130}
Sat Jul 15 01:08:20 2023 | INFO  | drawRectangleToScreen                    | Filling
Sat Jul 15 01:08:20 2023 | INFO  | showConsole                              | Current console shown
Sat Jul 15 01:08:20 2023 | INFO  | theSectionHasGames                       | Directories /userdata/roms/o2em/ 
Sat Jul 15 01:08:20 2023 | INFO  | theSectionHasGames                       | Looking at /userdata/roms/o2em/
Sat Jul 15 01:08:20 2023 | INFO  | theSectionHasGames                       | Looking at (null)
Sat Jul 15 01:08:20 2023 | INFO  | theSectionHasGames                       | DirCounter is 1
Sat Jul 15 01:08:20 2023 | INFO  | theSectionHasGames                       | k is 0
Sat Jul 15 01:08:20 2023 | INFO  | theSectionHasGames                       | Directory /userdata/roms/o2em/ has 258 files
Sat Jul 15 01:08:20 2023 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {30,30,130}
Sat Jul 15 01:08:20 2023 | INFO  | drawRectangleToScreen                    | Filling
Sat Jul 15 01:08:20 2023 | INFO  | showConsole                              | Current console shown
Sat Jul 15 01:08:20 2023 | INFO  | theSectionHasGames                       | Directories /userdata/roms/nes/ 
Sat Jul 15 01:08:20 2023 | INFO  | theSectionHasGames                       | Looking at /userdata/roms/nes/
Sat Jul 15 01:08:20 2023 | INFO  | theSectionHasGames                       | Looking at (null)
Sat Jul 15 01:08:20 2023 | INFO  | theSectionHasGames                       | DirCounter is 1
Sat Jul 15 01:08:20 2023 | INFO  | theSectionHasGames                       | k is 0
Sat Jul 15 01:08:20 2023 | INFO  | theSectionHasGames                       | Directory /userdata/roms/nes/ has 2640 files
Sat Jul 15 01:08:21 2023 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {30,30,130}
Sat Jul 15 01:08:21 2023 | INFO  | drawRectangleToScreen                    | Filling
Sat Jul 15 01:08:21 2023 | INFO  | showConsole                              | Current console shown
Sat Jul 15 01:08:21 2023 | INFO  | theSectionHasGames                       | Directories /userdata/roms/FDS/ 
Sat Jul 15 01:08:21 2023 | INFO  | theSectionHasGames                       | Looking at /userdata/roms/FDS/
Sat Jul 15 01:08:21 2023 | INFO  | theSectionHasGames                       | Looking at (null)
Sat Jul 15 01:08:21 2023 | INFO  | theSectionHasGames                       | DirCounter is 1
Sat Jul 15 01:08:21 2023 | INFO  | theSectionHasGames                       | k is 0
Sat Jul 15 01:08:21 2023 | ERROR | scanDirectory                            | /userdata/roms/FDS/
Sat Jul 15 01:08:21 2023 | INFO  | theSectionHasGames                       | Directory /userdata/roms/FDS/ has 0 files
Sat Jul 15 01:08:21 2023 | INFO  | theSectionHasGames                       | Directories /userdata/roms/snes/ 
Sat Jul 15 01:08:21 2023 | INFO  | theSectionHasGames                       | Looking at /userdata/roms/snes/
Sat Jul 15 01:08:21 2023 | INFO  | theSectionHasGames                       | Looking at (null)
Sat Jul 15 01:08:21 2023 | INFO  | theSectionHasGames                       | DirCounter is 1
Sat Jul 15 01:08:21 2023 | INFO  | theSectionHasGames                       | k is 0
Sat Jul 15 01:08:21 2023 | INFO  | theSectionHasGames                       | Directory /userdata/roms/snes/ has 852 files
Sat Jul 15 01:08:21 2023 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {30,30,130}
Sat Jul 15 01:08:21 2023 | INFO  | drawRectangleToScreen                    | Filling
Sat Jul 15 01:08:21 2023 | INFO  | showConsole                              | Current console shown
Sat Jul 15 01:08:21 2023 | INFO  | theSectionHasGames                       | Directories /userdata/Roms/MSU1/ 
Sat Jul 15 01:08:21 2023 | INFO  | theSectionHasGames                       | Looking at /userdata/Roms/MSU1/
Sat Jul 15 01:08:21 2023 | INFO  | theSectionHasGames                       | Looking at (null)
Sat Jul 15 01:08:21 2023 | INFO  | theSectionHasGames                       | DirCounter is 1
Sat Jul 15 01:08:21 2023 | INFO  | theSectionHasGames                       | k is 0
Sat Jul 15 01:08:21 2023 | ERROR | scanDirectory                            | /userdata/Roms/MSU1/
Sat Jul 15 01:08:21 2023 | INFO  | theSectionHasGames                       | Directory /userdata/Roms/MSU1/ has 0 files
Sat Jul 15 01:08:21 2023 | INFO  | theSectionHasGames                       | Directories /userdata/roms/sgb/ 
