Sun Jul  9 00:15:19 2023 | INFO  | loadConfig                               | Config loaded
Sun Jul  9 00:15:19 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Sun Jul  9 00:15:19 2023 | INFO  | recursivelyScanDirectory                 | It's a file
Sun Jul  9 00:15:19 2023 | INFO  | recursivelyScanDirectory                 | /userdata/system/.simplemenu/section_groups/home computers.png
Sun Jul  9 00:15:19 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Sun Jul  9 00:15:19 2023 | INFO  | recursivelyScanDirectory                 | It's a file
Sun Jul  9 00:15:19 2023 | INFO  | recursivelyScanDirectory                 | /userdata/system/.simplemenu/section_groups/arcades.png
Sun Jul  9 00:15:19 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Sun Jul  9 00:15:19 2023 | INFO  | recursivelyScanDirectory                 | It's a dir
Sun Jul  9 00:15:19 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Sun Jul  9 00:15:19 2023 | INFO  | recursivelyScanDirectory                 | It's a dir
Sun Jul  9 00:15:19 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Sun Jul  9 00:15:19 2023 | INFO  | recursivelyScanDirectory                 | It's a file
Sun Jul  9 00:15:19 2023 | INFO  | recursivelyScanDirectory                 | /userdata/system/.simplemenu/section_groups/handhelds.ini
Sun Jul  9 00:15:19 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Sun Jul  9 00:15:19 2023 | INFO  | recursivelyScanDirectory                 | It's a file
Sun Jul  9 00:15:19 2023 | INFO  | recursivelyScanDirectory                 | /userdata/system/.simplemenu/section_groups/home computers.ini
Sun Jul  9 00:15:19 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Sun Jul  9 00:15:19 2023 | INFO  | recursivelyScanDirectory                 | It's a file
Sun Jul  9 00:15:19 2023 | INFO  | recursivelyScanDirectory                 | /userdata/system/.simplemenu/section_groups/apps and games.ini
Sun Jul  9 00:15:19 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Sun Jul  9 00:15:19 2023 | INFO  | recursivelyScanDirectory                 | It's a file
Sun Jul  9 00:15:19 2023 | INFO  | recursivelyScanDirectory                 | /userdata/system/.simplemenu/section_groups/arcades.ini
Sun Jul  9 00:15:19 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Sun Jul  9 00:15:19 2023 | INFO  | recursivelyScanDirectory                 | It's a file
Sun Jul  9 00:15:19 2023 | INFO  | recursivelyScanDirectory                 | /userdata/system/.simplemenu/section_groups/consoles.ini
Sun Jul  9 00:15:19 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Sun Jul  9 00:15:19 2023 | INFO  | recursivelyScanDirectory                 | It's a file
Sun Jul  9 00:15:19 2023 | INFO  | recursivelyScanDirectory                 | /userdata/system/.simplemenu/section_groups/handhelds.png
Sun Jul  9 00:15:20 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Sun Jul  9 00:15:20 2023 | INFO  | recursivelyScanDirectory                 | It's a file
Sun Jul  9 00:15:20 2023 | INFO  | recursivelyScanDirectory                 | /userdata/system/.simplemenu/section_groups/apps and games.png
Sun Jul  9 00:15:20 2023 | INFO  | recursivelyScanDirectory                 | Read dir
Sun Jul  9 00:15:20 2023 | INFO  | recursivelyScanDirectory                 | No entry
Sun Jul  9 00:15:20 2023 | INFO  | loadSectionGroups                        | Loading group background
Sun Jul  9 00:15:20 2023 | INFO  | loadSectionGroups                        | Loading group background
Sun Jul  9 00:15:20 2023 | INFO  | loadSectionGroups                        | Loading group background
Sun Jul  9 00:15:20 2023 | INFO  | loadSectionGroups                        | Loading group background
Sun Jul  9 00:15:20 2023 | INFO  | loadSectionGroups                        | Loading group background
Sun Jul  9 00:15:20 2023 | INFO  | loadSectionGroups                        | Loaded section groups
Sun Jul  9 00:15:20 2023 | INFO  | initialSetup2                            | Loading sections
Sun Jul  9 00:15:20 2023 | INFO  | loadSections                             | MAME
Sun Jul  9 00:15:20 2023 | INFO  | loadSections                             | Current exec ready
Sun Jul  9 00:15:20 2023 | INFO  | loadSections                             | free as a bird
Sun Jul  9 00:15:20 2023 | INFO  | loadSections                             | free as a bird 2
Sun Jul  9 00:15:20 2023 | INFO  | loadSections                             | Executable set
Sun Jul  9 00:15:20 2023 | INFO  | loadSections                             | Setting logo, background and system
Sun Jul  9 00:15:20 2023 | INFO  | loadSections                             | Set
Sun Jul  9 00:15:20 2023 | INFO  | loadSections                             | Out
Sun Jul  9 00:15:20 2023 | INFO  | loadSections                             | CPS1
Sun Jul  9 00:15:20 2023 | INFO  | loadSections                             | Current exec ready
Sun Jul  9 00:15:20 2023 | INFO  | loadSections                             | free as a bird
Sun Jul  9 00:15:20 2023 | INFO  | loadSections                             | free as a bird 2
Sun Jul  9 00:15:20 2023 | INFO  | loadSections                             | Executable set
Sun Jul  9 00:15:20 2023 | INFO  | loadSections                             | Setting logo, background and system
Sun Jul  9 00:15:20 2023 | INFO  | loadSections                             | Set
Sun Jul  9 00:15:20 2023 | INFO  | loadSections                             | Out
Sun Jul  9 00:15:20 2023 | INFO  | loadSections                             | CPS2
Sun Jul  9 00:15:20 2023 | INFO  | loadSections                             | Current exec ready
Sun Jul  9 00:15:20 2023 | INFO  | loadSections                             | free as a bird
Sun Jul  9 00:15:20 2023 | INFO  | loadSections                             | free as a bird 2
Sun Jul  9 00:15:20 2023 | INFO  | loadSections                             | Executable set
Sun Jul  9 00:15:20 2023 | INFO  | loadSections                             | Setting logo, background and system
Sun Jul  9 00:15:20 2023 | INFO  | loadSections                             | Set
Sun Jul  9 00:15:20 2023 | INFO  | loadSections                             | Out
Sun Jul  9 00:15:20 2023 | INFO  | loadSections                             | CPS3
Sun Jul  9 00:15:20 2023 | INFO  | loadSections                             | Current exec ready
Sun Jul  9 00:15:20 2023 | INFO  | loadSections                             | free as a bird
Sun Jul  9 00:15:20 2023 | INFO  | loadSections                             | free as a bird 2
Sun Jul  9 00:15:20 2023 | INFO  | loadSections                             | Executable set
Sun Jul  9 00:15:20 2023 | INFO  | loadSections                             | Setting logo, background and system
Sun Jul  9 00:15:20 2023 | INFO  | loadSections                             | Loading system logo
Sun Jul  9 00:15:20 2023 | INFO  | loadSections                             | Loading system background
Sun Jul  9 00:15:21 2023 | INFO  | loadSections                             | Loading system picture
Sun Jul  9 00:15:21 2023 | INFO  | loadSections                             | Set
Sun Jul  9 00:15:21 2023 | INFO  | loadSections                             | Out
Sun Jul  9 00:15:21 2023 | INFO  | loadSections                             | NEO GEO
Sun Jul  9 00:15:21 2023 | INFO  | loadSections                             | Current exec ready
Sun Jul  9 00:15:21 2023 | INFO  | loadSections                             | free as a bird
Sun Jul  9 00:15:21 2023 | INFO  | loadSections                             | free as a bird 2
Sun Jul  9 00:15:21 2023 | INFO  | loadSections                             | Executable set
Sun Jul  9 00:15:21 2023 | INFO  | loadSections                             | Setting logo, background and system
Sun Jul  9 00:15:21 2023 | INFO  | loadSections                             | Set
Sun Jul  9 00:15:21 2023 | INFO  | loadSections                             | Out
Sun Jul  9 00:15:21 2023 | INFO  | loadSections                             | FINALBURN ALPHA
Sun Jul  9 00:15:21 2023 | INFO  | loadSections                             | Current exec ready
Sun Jul  9 00:15:21 2023 | INFO  | loadSections                             | free as a bird
Sun Jul  9 00:15:21 2023 | INFO  | loadSections                             | free as a bird 2
Sun Jul  9 00:15:21 2023 | INFO  | loadSections                             | Executable set
Sun Jul  9 00:15:21 2023 | INFO  | loadSections                             | Setting logo, background and system
Sun Jul  9 00:15:21 2023 | INFO  | loadSections                             | Set
Sun Jul  9 00:15:21 2023 | INFO  | loadSections                             | Out
Sun Jul  9 00:15:21 2023 | INFO  | loadSections                             | FINALBURN NEO
Sun Jul  9 00:15:21 2023 | INFO  | loadSections                             | Current exec ready
Sun Jul  9 00:15:21 2023 | INFO  | loadSections                             | free as a bird
Sun Jul  9 00:15:21 2023 | INFO  | loadSections                             | free as a bird 2
Sun Jul  9 00:15:21 2023 | INFO  | loadSections                             | Executable set
Sun Jul  9 00:15:21 2023 | INFO  | loadSections                             | Setting logo, background and system
Sun Jul  9 00:15:21 2023 | INFO  | loadSections                             | Set
Sun Jul  9 00:15:21 2023 | INFO  | loadSections                             | Out
Sun Jul  9 00:15:21 2023 | INFO  | loadSections                             | DAPHNE
Sun Jul  9 00:15:21 2023 | INFO  | loadSections                             | Current exec ready
Sun Jul  9 00:15:21 2023 | INFO  | loadSections                             | free as a bird
Sun Jul  9 00:15:21 2023 | INFO  | loadSections                             | free as a bird 2
Sun Jul  9 00:15:21 2023 | INFO  | loadSections                             | Executable set
Sun Jul  9 00:15:21 2023 | INFO  | loadSections                             | Setting logo, background and system
Sun Jul  9 00:15:21 2023 | INFO  | loadSections                             | Set
Sun Jul  9 00:15:21 2023 | INFO  | loadSections                             | Out
Sun Jul  9 00:15:21 2023 | INFO  | loadSections                             | Out 1
Sun Jul  9 00:15:21 2023 | INFO  | loadSections                             | Out2
Sun Jul  9 00:15:21 2023 | INFO  | loadSections                             | Out 3
Sun Jul  9 00:15:21 2023 | INFO  | loadSections                             | Out 4
Sun Jul  9 00:15:21 2023 | INFO  | initializeFonts                          | Fonts initialized
Sun Jul  9 00:15:21 2023 | INFO  | loadSections                             | Out 5
Sun Jul  9 00:15:21 2023 | INFO  | loadSections                             | Out 6
Sun Jul  9 00:15:21 2023 | INFO  | loadSections                             | Out 7
Sun Jul  9 00:15:21 2023 | INFO  | initialSetup2                            | Loading favorites
Sun Jul  9 00:15:21 2023 | INFO  | loadFavorites                            | Loaded favorites
Sun Jul  9 00:15:21 2023 | INFO  | initSuspendTimer                         | Suspend timer initialized
Sun Jul  9 00:15:21 2023 | INFO  | determineStartingScreen                  | Loading game list
Sun Jul  9 00:15:21 2023 | INFO  | loadGameList                             | CPS3
Sun Jul  9 00:15:21 2023 | INFO  | loadGameList                             | Should we skip this?
Sun Jul  9 00:15:21 2023 | INFO  | loadGameList                             | No, loading game list
Sun Jul  9 00:15:21 2023 | INFO  | loadGameList                             | Scanning directory
Sun Jul  9 00:15:21 2023 | INFO  | loadGameList                             | Processing files
Sun Jul  9 00:15:21 2023 | INFO  | loadGameList                             | All files loaded
Sun Jul  9 00:15:21 2023 | INFO  | loadGameList                             | The list needs to be sorted
Sun Jul  9 00:15:21 2023 | INFO  | loadGameList                             | Finished
Sun Jul  9 00:15:21 2023 | ERROR | loadFavoritesSectionGameList             | Setting total pages
Sun Jul  9 00:15:21 2023 | INFO  | determineStartingScreen                  | Found starting screen
Sun Jul  9 00:15:21 2023 | INFO  | Battery                                  | getBatteryLevel
Sun Jul  9 00:15:21 2023 | INFO  | Battery                                  | Battery charge: 32
Sun Jul  9 00:15:21 2023 | INFO  | Battery                                  | Battery charging: 1
Sun Jul  9 00:15:21 2023 | INFO  | main                                     | Checking launch at boot
Sun Jul  9 00:15:21 2023 | INFO  | updateScreen                             | Menu mode
Sun Jul  9 00:15:21 2023 | INFO  | displayGamePictureInMenu                 | Displaying...
Sun Jul  9 00:15:21 2023 | INFO  | displayGamePictureInMenu                 | Displayed game picture
Sun Jul  9 00:15:21 2023 | INFO  | drawGameList                             | Game list - Done
Sun Jul  9 00:15:21 2023 | INFO  | setupDecorations                         | Decorations set
Sun Jul  9 00:15:22 2023 | INFO  | Battery                                  | getBatteryLevel
Sun Jul  9 00:15:22 2023 | INFO  | Battery                                  | Battery charge: 32
Sun Jul  9 00:15:22 2023 | INFO  | Battery                                  | Battery charging: 1
Sun Jul  9 00:15:22 2023 | INFO  | updateScreen                             | Menu mode
Sun Jul  9 00:15:22 2023 | INFO  | displayGamePictureInMenu                 | Displaying...
Sun Jul  9 00:15:22 2023 | INFO  | displayGamePictureInMenu                 | Displayed game picture
Sun Jul  9 00:15:22 2023 | INFO  | drawGameList                             | Game list - Done
Sun Jul  9 00:15:22 2023 | INFO  | setupDecorations                         | Decorations set
Sun Jul  9 00:15:23 2023 | INFO  | updateScreen                             | Menu mode
Sun Jul  9 00:15:23 2023 | INFO  | displayGamePictureInMenu                 | Displaying...
Sun Jul  9 00:15:23 2023 | INFO  | displayGamePictureInMenu                 | Displayed game picture
Sun Jul  9 00:15:23 2023 | INFO  | drawGameList                             | Game list - Done
Sun Jul  9 00:15:23 2023 | INFO  | setupDecorations                         | Decorations set
Sun Jul  9 00:15:23 2023 | INFO  | updateScreen                             | Menu mode
Sun Jul  9 00:15:23 2023 | INFO  | displayGamePictureInMenu                 | Displaying...
Sun Jul  9 00:15:23 2023 | INFO  | displayGamePictureInMenu                 | Displayed game picture
Sun Jul  9 00:15:23 2023 | INFO  | drawGameList                             | Game list - Done
Sun Jul  9 00:15:23 2023 | INFO  | setupDecorations                         | Decorations set
Sun Jul  9 00:15:23 2023 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {30,30,130}
Sun Jul  9 00:15:23 2023 | INFO  | drawRectangleToScreen                    | Filling
Sun Jul  9 00:15:23 2023 | INFO  | showConsole                              | Current console shown
Sun Jul  9 00:15:24 2023 | INFO  | rewindSection                            | Rewinding section
Sun Jul  9 00:15:24 2023 | INFO  | theSectionHasGames                       | Directories /userdata/roms/cps2/ 
Sun Jul  9 00:15:24 2023 | INFO  | theSectionHasGames                       | Looking at /userdata/roms/cps2/
Sun Jul  9 00:15:24 2023 | INFO  | theSectionHasGames                       | Looking at (null)
Sun Jul  9 00:15:24 2023 | INFO  | theSectionHasGames                       | DirCounter is 1
Sun Jul  9 00:15:24 2023 | INFO  | theSectionHasGames                       | k is 0
Sun Jul  9 00:15:24 2023 | INFO  | theSectionHasGames                       | Directory /userdata/roms/cps2/ has 31 files
Sun Jul  9 00:15:24 2023 | INFO  | theSectionHasGames                       | Directories /userdata/roms/cps1/ 
Sun Jul  9 00:15:24 2023 | INFO  | theSectionHasGames                       | Looking at /userdata/roms/cps1/
Sun Jul  9 00:15:24 2023 | INFO  | theSectionHasGames                       | Looking at (null)
Sun Jul  9 00:15:24 2023 | INFO  | theSectionHasGames                       | DirCounter is 1
Sun Jul  9 00:15:24 2023 | INFO  | theSectionHasGames                       | k is 0
Sun Jul  9 00:15:24 2023 | INFO  | theSectionHasGames                       | Directory /userdata/roms/cps1/ has 30 files
Sun Jul  9 00:15:24 2023 | INFO  | theSectionHasGames                       | Directories /userdata/roms/mame/ 
Sun Jul  9 00:15:24 2023 | INFO  | theSectionHasGames                       | Looking at /userdata/roms/mame/
Sun Jul  9 00:15:24 2023 | INFO  | theSectionHasGames                       | Looking at (null)
Sun Jul  9 00:15:24 2023 | INFO  | theSectionHasGames                       | DirCounter is 1
Sun Jul  9 00:15:24 2023 | INFO  | theSectionHasGames                       | k is 0
Sun Jul  9 00:15:24 2023 | INFO  | theSectionHasGames                       | Directory /userdata/roms/mame/ has 2054 files
Sun Jul  9 00:15:24 2023 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {30,30,130}
Sun Jul  9 00:15:24 2023 | INFO  | drawRectangleToScreen                    | Filling
Sun Jul  9 00:15:24 2023 | INFO  | showConsole                              | Current console shown
Sun Jul  9 00:15:24 2023 | INFO  | rewindSection                            | Rewinding section
Sun Jul  9 00:15:24 2023 | ERROR | loadFavoritesSectionGameList             | Setting total pages
Sun Jul  9 00:15:24 2023 | INFO  | theSectionHasGames                       | Directories /userdata/roms/daphne/ 
Sun Jul  9 00:15:24 2023 | INFO  | theSectionHasGames                       | Looking at /userdata/roms/daphne/
Sun Jul  9 00:15:24 2023 | INFO  | theSectionHasGames                       | Looking at (null)
Sun Jul  9 00:15:24 2023 | INFO  | theSectionHasGames                       | DirCounter is 1
Sun Jul  9 00:15:24 2023 | INFO  | theSectionHasGames                       | k is 0
Sun Jul  9 00:15:24 2023 | INFO  | theSectionHasGames                       | Directory /userdata/roms/daphne/ has 116 files
Sun Jul  9 00:15:24 2023 | INFO  | rewindSection                            | Rewinding section
Sun Jul  9 00:15:24 2023 | INFO  | theSectionHasGames                       | Directories /userdata/roms/fbneo/ 
Sun Jul  9 00:15:24 2023 | INFO  | theSectionHasGames                       | Looking at /userdata/roms/fbneo/
Sun Jul  9 00:15:24 2023 | INFO  | theSectionHasGames                       | Looking at (null)
Sun Jul  9 00:15:24 2023 | INFO  | theSectionHasGames                       | DirCounter is 1
Sun Jul  9 00:15:24 2023 | INFO  | theSectionHasGames                       | k is 0
Sun Jul  9 00:15:24 2023 | INFO  | theSectionHasGames                       | Directory /userdata/roms/fbneo/ has 1 files
Sun Jul  9 00:15:24 2023 | INFO  | theSectionHasGames                       | Directories /userdata/roms/fba/ 
Sun Jul  9 00:15:24 2023 | INFO  | theSectionHasGames                       | Looking at /userdata/roms/fba/
Sun Jul  9 00:15:24 2023 | INFO  | theSectionHasGames                       | Looking at (null)
Sun Jul  9 00:15:24 2023 | INFO  | theSectionHasGames                       | DirCounter is 1
Sun Jul  9 00:15:24 2023 | INFO  | theSectionHasGames                       | k is 0
Sun Jul  9 00:15:24 2023 | ERROR | scanDirectory                            | /userdata/roms/fba/
Sun Jul  9 00:15:24 2023 | INFO  | theSectionHasGames                       | Directory /userdata/roms/fba/ has 0 files
Sun Jul  9 00:15:24 2023 | INFO  | theSectionHasGames                       | Directories /userdata/roms/neogeo/ 
Sun Jul  9 00:15:24 2023 | INFO  | theSectionHasGames                       | Looking at /userdata/roms/neogeo/
Sun Jul  9 00:15:24 2023 | INFO  | theSectionHasGames                       | Looking at (null)
Sun Jul  9 00:15:24 2023 | INFO  | theSectionHasGames                       | DirCounter is 1
Sun Jul  9 00:15:24 2023 | INFO  | theSectionHasGames                       | k is 0
Sun Jul  9 00:15:24 2023 | INFO  | theSectionHasGames                       | Directory /userdata/roms/neogeo/ has 452 files
Sun Jul  9 00:15:24 2023 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {30,30,130}
Sun Jul  9 00:15:24 2023 | INFO  | drawRectangleToScreen                    | Filling
Sun Jul  9 00:15:24 2023 | INFO  | showConsole                              | Current console shown
Sun Jul  9 00:15:24 2023 | INFO  | rewindSection                            | Rewinding section
Sun Jul  9 00:15:24 2023 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {30,30,130}
Sun Jul  9 00:15:24 2023 | INFO  | drawRectangleToScreen                    | Filling
Sun Jul  9 00:15:24 2023 | INFO  | showConsole                              | Current console shown
Sun Jul  9 00:15:24 2023 | INFO  | rewindSection                            | Rewinding section
Sun Jul  9 00:15:24 2023 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {30,30,130}
Sun Jul  9 00:15:24 2023 | INFO  | drawRectangleToScreen                    | Filling
Sun Jul  9 00:15:24 2023 | INFO  | showConsole                              | Current console shown
Sun Jul  9 00:15:25 2023 | INFO  | rewindSection                            | Rewinding section
Sun Jul  9 00:15:25 2023 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {30,30,130}
Sun Jul  9 00:15:25 2023 | INFO  | drawRectangleToScreen                    | Filling
Sun Jul  9 00:15:25 2023 | INFO  | showConsole                              | Current console shown
Sun Jul  9 00:15:25 2023 | INFO  | rewindSection                            | Rewinding section
Sun Jul  9 00:15:25 2023 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {30,30,130}
Sun Jul  9 00:15:25 2023 | INFO  | drawRectangleToScreen                    | Filling
Sun Jul  9 00:15:25 2023 | INFO  | showConsole                              | Current console shown
Sun Jul  9 00:15:25 2023 | INFO  | rewindSection                            | Rewinding section
Sun Jul  9 00:15:25 2023 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {30,30,130}
Sun Jul  9 00:15:25 2023 | INFO  | drawRectangleToScreen                    | Filling
Sun Jul  9 00:15:25 2023 | INFO  | showConsole                              | Current console shown
Sun Jul  9 00:15:25 2023 | INFO  | rewindSection                            | Rewinding section
Sun Jul  9 00:15:25 2023 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {30,30,130}
Sun Jul  9 00:15:25 2023 | INFO  | drawRectangleToScreen                    | Filling
Sun Jul  9 00:15:25 2023 | INFO  | showConsole                              | Current console shown
Sun Jul  9 00:15:26 2023 | INFO  | rewindSection                            | Rewinding section
Sun Jul  9 00:15:26 2023 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {30,30,130}
Sun Jul  9 00:15:26 2023 | INFO  | drawRectangleToScreen                    | Filling
Sun Jul  9 00:15:26 2023 | INFO  | showConsole                              | Current console shown
Sun Jul  9 00:15:26 2023 | INFO  | rewindSection                            | Rewinding section
Sun Jul  9 00:15:26 2023 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {30,30,130}
Sun Jul  9 00:15:26 2023 | INFO  | drawRectangleToScreen                    | Filling
Sun Jul  9 00:15:26 2023 | INFO  | showConsole                              | Current console shown
Sun Jul  9 00:15:26 2023 | INFO  | rewindSection                            | Rewinding section
Sun Jul  9 00:15:26 2023 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {30,30,130}
Sun Jul  9 00:15:26 2023 | INFO  | drawRectangleToScreen                    | Filling
Sun Jul  9 00:15:26 2023 | INFO  | showConsole                              | Current console shown
Sun Jul  9 00:15:26 2023 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {30,30,130}
Sun Jul  9 00:15:26 2023 | INFO  | drawRectangleToScreen                    | Filling
Sun Jul  9 00:15:26 2023 | INFO  | showConsole                              | Current console shown
Sun Jul  9 00:15:26 2023 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {50,50,50}
Sun Jul  9 00:15:26 2023 | INFO  | drawRectangleToScreen                    | Filling
Sun Jul  9 00:15:26 2023 | INFO  | showCurrentGroup                         | Group displayed
Sun Jul  9 00:15:27 2023 | INFO  | drawRectangleToScreen                    | 640 - 480 - 0 - 0 - {50,50,50}
Sun Jul  9 00:15:27 2023 | INFO  | drawRectangleToScreen                    | Filling
Sun Jul  9 00:15:27 2023 | INFO  | showCurrentGroup                         | Group displayed
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | NINTENDO 64
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | Current exec ready
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | free as a bird
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | free as a bird 2
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | Executable set
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | Setting logo, background and system
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | Set
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | Out
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | DREAMCAST
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | Current exec ready
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | free as a bird
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | free as a bird 2
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | Executable set
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | Setting logo, background and system
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | Set
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | Out
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | ODYSSEY2
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | Current exec ready
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | free as a bird
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | free as a bird 2
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | Executable set
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | Setting logo, background and system
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | Set
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | Out
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | NES
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | Current exec ready
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | free as a bird
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | free as a bird 2
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | Executable set
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | Setting logo, background and system
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | Loading system logo
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | Loading system background
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | Loading system picture
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | Set
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | Out
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | FDS
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | Current exec ready
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | free as a bird
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | free as a bird 2
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | Executable set
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | Setting logo, background and system
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | Set
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | Out
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | SNES
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | Current exec ready
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | free as a bird
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | free as a bird 2
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | Executable set
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | Setting logo, background and system
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | Set
Sun Jul  9 00:15:27 2023 | INFO  | loadSections                             | Out
